original,summary
"
CHAPTER I PRELIMINARY
1. Short title, extent and commencement.
(1) This Act may be called the Delhi Rent Act, 1995 .
(2) It extends to the areas included within the limits of the New Delhi Municipal Council and the Delhi Cantonment Board and to urban areas within the limits of the Municipal Corporation of Delhi for the time being: Provided that the Central Government may, by notification in the Official Gazette, exclude any area from the operation of this Act or any provision thereof: Provided further that the Central Government may, by notification in the Official Gazette, exclude any premises or class of buildings from the operation of this Act or any provision thereof.
(3) It shaft come into force on such date as the Central Government may, by notification in the Official Gazette, appoint.","This law is called the Delhi Rent Act, 1995. It applies to specific areas in Delhi, including those within the New Delhi Municipal Council, the Delhi Cantonment Board, and urban areas within the Municipal Corporation of Delhi. However, the Central Government can exclude certain areas, premises, or types of buildings from the law's application through official notifications.

The law comes into effect on a date determined by the Central Government, as mentioned in an official notification in the Gazette."
"
2. Definitions. In this Act, unless the context otherwise requires,-
(a) "" Bench"" means a Bench of the Tribunal;
(b) "" Chairman"" means the Chairman of the Tribunal;
(c) "" fair rate"" means' the fair rate fixed under section 39 and includes the rate as revised under section 40;
(d) "" hotel or lodging house"" means a building or a part of a building where lodging, with or without board or other services, is provided for a monetary consideration;
(e) "" landlord"" means a person who, for the time being is receiving, or is entitled to receive, the rent of any premises, whether on his own account or on account of or on behalf of, or for the benefit of, any other person or as a trustee, guardian or receiver for any other person or who would so receive the rent or be entitled to receive the rent if the premises were let to a tenant;
(f) "" lawful Increase"" means an increase in rent permitted under the provisions of this Act;
(g) "" manager of a hotel"" includes any person in charge of the management of' the hotel;
(h) "" Member"" means a Member of the Tribunal and includes the Chairman;
(i) "" owner of a lodging house"" means a person who receives or is entitled to receive whether on his own account or on behalf of himself and others or as an agent or a trustee for any other person, any monetary Consideration from any person on account of board, lodging or other Services provided in the lodging house;
(j) "" premises"" means any building or part of a building which is or is intended to be, let separately for use as a residence or for non- residential use or for any other purpose, and includes-- (i) the garden, grounds and outhouses if any, appertaining to such building or part of the building; (ii) any fittings to such building or part of the building for the more beneficial enjoyment thereof; but does not include a room in a hotel or a lodging house.
(k) "" prescribed"" means prescribed by rules made under this Act;
(l) "" Rent Authority"" means an authority appointed under subsection (1) of section 43 and includes an additional Rent Authority appointed under sub- section. (2) of that section;
(m) "" standard' rent"", in relation to any premises, means the rent calculated under section 7;
(n) "" tenant"" means any person by whom or on whose account or behalf the rent of any premises is or, but for a special contract, would be payable, and includes--
(i) a sub- tenant;
(ii) any person continuing in possession after the termination of his tenancy, but does not include-
(i) any person against whom an order or decree for eviction has been made, except where such decree or order for eviction is liable to be re- opened under the proviso to section 3 of the Delhi Rent Control (Amendment) Act, 1976 ; (18 of 1976 .)
(ii) any person to whom a licence as defined in section 52 of the Indian Easements Act, 1882 (5 of 1882 .) has been granted;
(o) "" Tribunal"" means the Delhi Rent Tribunal established Under section 46;
(p) "" urban area"" has the same meaning as in the Delhi municipal Corporation Act, 1957 . (66 of 1957 .)","This section defines important terms used in the Delhi Rent Act, 1995:

Bench: Refers to a group of members in the Tribunal.
Chairman: The head of the Tribunal.
Fair Rate: The rate fixed under section 39, including any revisions under section 40.
Hotel or Lodging House: A building or part where lodging, with or without board or other services, is provided for a fee.
Landlord: Someone receiving or entitled to receive rent for any premises, whether on their own account or on behalf of others.
Lawful Increase: An increase in rent allowed by the provisions of this Act.
Manager of a Hotel: Includes anyone in charge of the hotel's management.
Member: A member of the Tribunal, including the Chairman.
Owner of a Lodging House: Someone receiving or entitled to receive money for board, lodging, or other services in a lodging house.
Premises: Any building or part intended to be let separately for residential or non-residential use, including gardens, grounds, and fittings, excluding hotel or lodging house rooms.
Prescribed: Defined by rules under this Act.
Rent Authority: An authority appointed under section 43, including an additional Rent Authority.
Standard Rent: Rent calculated under section 7 for any premises.
Tenant: Any person paying or liable to pay rent, including sub-tenants and those in possession after the tenancy termination, but excluding specific cases.
Tribunal: The Delhi Rent Tribunal established under section 46.
Urban Area: Defined as in the Delhi Municipal Corporation Act, 1957."
"
3. Certain provisions not to apply to premises.
(1) Nothing in this Act shall apply--
(a) to any premises belonging to the Government or a local authority;
(b) to any tenancy or other like relationship created by a grant from the Government in respect of the premises taken on lease or requisitioned, by the Government: Provided that where any premises belonging to Government have been or are lawfully let out by any person by virtue of an agreement with the Government or otherwise, then, notwithstanding any judgment, decree or order of any court or other authority, the provisions of' this Act shall apply to such tenancy;
(c) to any premises, whether residential or not and whether let out before or after the commencement of this Act, whose monthly deemed rent on the date of commencement of this Act exceeds three thousand and five hundred rupees;
(d) to any premises constructed on or after the 1st day of December, 1988 but before the commencement of this Act for a period of ten years from the date of completion of such construction;
(e) to any premises constructed on or after the commencement of this Act, for a period of fifteen years from the date of completion of such construction;
(f) to any premises, being a premises not let out within seven years before letting out the same, for a period of fifteen years from the date it is let out;
(g) to any premises let out to a citizen of a foreign Country or an embassy, high commission, legation or commission of a foreign State or such international organisation as may be Specified by the Central Government by notification in the Official Gazette;
(h) to any premises belonging to such religious, charitable or educational trust or class of trusts as may be specified by the Central Government by notification in the Official Gazette;
(i) to any tenancy, whether entered before or after the commencement of this Act, for a period of twenty years or more and registered under the Registration Act, 1908 (16 of 1908 .) and not terminable before its expiration at the option of the landlord. Explanation I.- For the removal of doubts, it is hereby declared that the provisions of this Act shall apply to any premises, not being a premises mentioned in sub- section (1),- (a) let out to the Government or a local authority; (b) let out by a hire- purchaser, lessee or sub- lessee, by whatever name called, who has been allotted such premises by, the Delhi Development Authority or any other local authority by way of an agreement of hire- purchase, lease or sub- lease, even before the full ownership rights accrue to such hire- purchaser, lessee or sublessee, as the case may be. Explanation II.-"" Premises belonging to the Government or a local authority"" shall, notwithstanding anything contained in any judgement, decree or order of a court, not include a building' erected on any land held by any person from the Government or a local authority by virtue of an agreement, a lease, licence or grant although such land under the conditions of such agreement, lease, licence or grant may continue to belong to the Government or a local authority. Explanation III.-"" Deemed rent on the date of commencement of this Act"" shall be the rent calculated in the manner provided in section 7, together with revision, if any, as provided in section on 9 and decreased in the case of premises constructed after the commencement of this Act at the same rate as the rate of enhancement stipulated in Schedule I to reflect the position on the date of the commencement of this Act. Explanation IV.-"" Date of completion of construction"" shall be the date of completion as intimated to the concerned authority or of assessment to property tax, whichever is earlier, and, where the premises have been constructed in stages, the date on which the initial building was completed and an intimation thereof was sent to the concerned authority or was assessed to property tax, whichever is earlier. Explanation V.-"" Premises constructed"" shall include- (i) re- building of more than seventy- five per cent, of an existing building; (ii) additional construction to an existing building.
(2) Notwithstanding anything contained in sub- section (1), in the Transfer of Property Act, 1882 , (4 of 1882 .) the Code of Civil Procedure, 1908 (5 of 1908 .) and any other law for the time being in force, the Rent Authority shall have the jurisdiction to decide all disputes relating to tenancies in respect of the premises referred to in clauses (c) to (i) of sub- section (1).","The Act does not apply to:

(a) Premises owned by the Government or a local authority.
(b) Tenancies created by a government grant for leased or requisitioned premises.
(c) Premises with a monthly deemed rent exceeding Rs. 3,500 at the Act's commencement.
(d) Premises constructed between December 1, 1988, and the Act's commencement for ten years.
(e) Premises constructed after the Act's commencement for fifteen years.
(f) Premises not let out within seven years before letting, for fifteen years.
(g) Premises let to a foreign citizen, embassy, or international organization specified by the Central Government.
(h) Premises owned by specified religious, charitable, or educational trusts.
(i) Tenancies lasting twenty years or more, registered under the Registration Act, 1908, not terminable before completion.
Explanations:

Explanation I: The Act applies to premises let to the government or local authority.
Explanation II: Premises belonging to the government or local authority exclude buildings on land held by others under an agreement, lease, license, or grant.
Explanation III: ""Deemed rent"" on the Act's commencement is calculated based on section 7, with adjustments for revisions and decreases.
Explanation IV: ""Date of completion of construction"" is the completion date as intimated or assessed for property tax, whichever is earlier.
Explanation V: ""Premises constructed"" includes rebuilding over 75% of an existing building and additional construction.
The Rent Authority has jurisdiction over disputes related to tenancies in premises mentioned in clauses (c) to (i) of sub-section (1), overriding other laws like the Transfer of Property Act, 1882, and the Code of Civil Procedure, 1908."
"
4. Registration of tenancy agreements.
(1) Notwithstanding anything contained in section 107 of the Transfer of Property Act, 1882 , (4 of 1882 .) no person shall, after the commencement of this Act, let or take on rent any premises except by an agreement in writing.
(2) Every agreement referred to in sub- section (1) or required to be registered under sub- section (3) shall be registered under the Registration Act, 1908 , (16 of 1908 .) within such period as may be prescribed and for this purpose the agreement shall be deemed to be a document for which registration is compulsory under section 17 of the said Act.
(3) Where, in relation to a tenancy created before the commencement of this Act,-
(a) an agreement in writing was entered into and was not registered under the Registration Act, 1908 , (16 of 1908 .) the landlord and the tenant shall jointly present a copy thereof for registration before the registering officer under the said Act;
(b) no agreement in writing was entered into, the landlord and the tenant shall enter into an agreement in writing with regard to that tenancy and present the same for registration before the registering officer under the said Act: Provided that where the landlord and the tenant fail to present jointly a copy of tenancy agreement under clause (a) or fail to reach an agreement under clause (b) such landlord and the tenant shall separately file the particulars about such tenancy with the prescribed authority in such form and in, such manner and within such period as may be prescribed.","This section is about registering tenancy agreements under the Delhi Rent Act, 1995:

Written Agreement Requirement:

After the Act begins, no one can let or take on rent any premises without a written agreement, as per section 107 of the Transfer of Property Act, 1882.
Registration of Agreements:

Every agreement mentioned in (1) or required to be registered under sub-section (3) must be registered under the Registration Act, 1908.
The agreement is treated as a document for which registration is compulsory under section 17 of the Registration Act.
Registration for Existing Tenancies:

For tenancies created before this Act started:
(a) If there was a written agreement not registered under the Registration Act, the landlord and tenant must jointly present a copy for registration.
(b) If there was no written agreement, the landlord and tenant must create one and present it for registration.
If the landlord and tenant cannot agree or jointly present the agreement, they should separately file details about the tenancy with the prescribed authority within the prescribed period and in the prescribed manner."
"
5. Inheritability of tenancy.
(1) In the event of death of a tenant, the right of tenancy shall devolve for a period of ten years from the date of his death to his successors in the following order, namely:--
(a) spouse;
(b) son or daughter or where there are both son and daughter both of them;
(c) parents;
(d) daughter- in- law, being the widow of his pre- deceased son: Provided that the successor has ordinarily been living in the premises with the deceased tenant as a member of his family up to the date of his death and was dependent on the deceased tenant: Provided further that a right to tenancy shall not devolve upon a successor in case such successor or his spouse or any of his dependent son or daughter is owning or occupying a residential premises in the National capital Territory of Delhi.
(2) If a person, being a successor mentioned in sub- section (1), was ordinarily living in the premises with the deceased tenant but was not dependent on him on the date of his death, or lie or his spouse or any of his dependent son or daughter is owning or occupying a residential premises in the
National Capital Territory of Delhi, such successor shall acquire a right to continue in possession as a tenant for a limited period of one year from the date of death of the tenant; and, on the expiry of that period, or on his death, whichever is earlier, the right of such successor to continue in possession of the premises shall become extinguished. Explanation.-- For the removal of doubts, it is hereby declared that-
(a) where, by reason of sub- section (2), the, right of any successor to continue in possession of the premises becomes extinguished, such extinguishment shall not affect the right of any other successor of the same category to continue in possession of the premises but if there is no other successor of the same category, the right to continue in possession of the premises shall not, on such extinguishment, pass on to any other successor specified in any lower category or categories, as the case may be;
(b) the right of every successor, referred to in sub- section (1) to continue in possession of the premises shall be personal to him and shall not, on the death of such successor, devolve on any of his heirs.
(3) Nothing in sub- section (1) or sub- section (2) shall apply to a nonresidential premises and the vacant possession of such premises shall be delivered to the landlord within one year-
(i) of the death of tenant, in case the tenant is an individual;
(ii) of the dissolution of the firm, in case the tenant is a firm;
(iii) of the winding up of the company, in case the tenant is a company;
(iv) of the dissolution of the corporate body, other than a company, in case the tenant is such a corporate body. CHAP RENT CHAPTER II RENT","This section is about what happens to a rented property when a tenant dies:

Succession Order:

After the death of a tenant, the right to the tenancy passes to successors for ten years in the following order:
(a) Spouse
(b) Son or Daughter, or both
(c) Parents
(d) Daughter-in-law, the widow of the pre-deceased son.
Conditions for succession: The successor must have lived in the premises with the deceased tenant as a family member, dependent on the tenant. However, if the successor, their spouse, or any dependent son or daughter already owns or occupies a residential property in Delhi, the right to tenancy does not pass.
Limited Right for Certain Successors:

If a successor was living in the premises but was not dependent on the deceased tenant or owns/occupies a residential property in Delhi, they acquire a right to continue as a tenant for one year from the tenant's death. After this period, or if the successor dies within that year, the right to continue as a tenant is extinguished.
Explanations:

(a) If a right to continue as a tenant is extinguished for one successor, it does not affect the right of other successors in the same category. If there are no other successors in the same category, the right does not pass to successors in a lower category.
(b) The right to continue as a tenant is personal and does not pass to the heirs of the successor upon their death.
Non-residential Premises:

The rules in sub-sections (1) and (2) do not apply to non-residential premises. The landlord can take back possession of non-residential premises within one year of the tenant's death, dissolution of a firm, winding up of a company, or dissolution of a corporate body, depending on the tenant's legal form."
"
6. Rent payable.
(1) The rent payable in relation to a premises shall be-
(a) the rent agreed to between the landlord and the tenant as enhanced in the manner provided in Schedule I; or
(b) the standard rent specified under section 7, as revised under section 9.
(2) In the case of a tenancy entered into before the commencement of this Act, the landlord may, by notice in writing to the tenant within three months from the date of such commencement, enhance the rent as specified under section 7 and the rent so enhanced, shall be payable from the date of such commencement.","Rent Calculation:

The rent payable for a premises can be:
(a) The rent agreed upon between the landlord and the tenant, with enhancements as specified in Schedule I, or
(b) The standard rent specified under section 7, as revised under section 9.
Enhancement for Existing Tenancies:

For tenancies established before the Act began, the landlord can increase the rent as specified under section 7 by providing written notice to the tenant within three months from the Act's commencement.
The enhanced rent becomes payable from the date of the Act's commencement.
In simpler terms, the rent for a premises is determined by either the agreed-upon rent between the landlord and tenant or the standard rent specified by the Act, with possible enhancements as per the schedule. For existing tenancies, landlords can increase the rent as per the Act within three months from its commencement, and the increased rent becomes payable from that date."
"
7. Standard rent.
(1) "" Standard rent"", in relation to any premises, means the rent calculated On the basis of ten per cent. per annum of the aggregate amount of the cost, of construction and the market price of the land comprised in the premises on the date of commencement of the construction: Provided that the standard rent calculated as aforesaid shall, be enhanced in the manner provided in Schedule I.
(2) For the purposes of this section,-
(a) cost of construction shall include cost of electrical fittings, water pumps, overhead water tanks, storage tanks and other water, sewerage and other fixtures and fittings in the premises;
(b) in case any fixtures and fittings referred to in clause (a) are in common use by more than one occupant in a building, such proportion of cost of the fixtures and fittings shall be included in the cost of construction of the premises as bears the proportion to the plinth area of such premises to the plinth area of that building;
(c) the cost of construction shall be the actual amount spent on construction, and in a case, where such amount cannot be ascertained, such cost shall be determined, as per the scheduled rates of the Central Public Works Department for cost of construction for similar construction for the year in which the premises was constructed;
(d) the market price of the land shall be the price for which the land was bought as determined from the deed of sale registered under the Registration Act, 1908 , (16 of 1908 .) if construction commenced in the year of registration or the land rates notified by a local authority for the year in which construction was commenced, whichever Is higher;
(e) the land comprised in the premises shall be the plinth area of the building and such of the vacant land up to fifty per cent. of the plinth area as is appurtenant thereto;
(f) in a case where a premises' forms part of a building having more than one premises. such proportion of price of land forming part of such building shall be taken to be the market price of the land comprised in the premises as is equal to the proportion of the plinth area of such premises to the plinth area of that building;
(g) notwithstanding anything contained in clauses (c) and (a), the cost of construction and the market price of the land comprised in the premises purchased from or allotted by the Government or a local authority shall be the aggregate amount payable to such Government or the local authority for the premises: Provided that the Rent Authority may, for the purpose of arriving at, the cost of"" construction and the market price of the land comprised in the premises. allow addition, subject to a maximum of thirty per cent. of amount payable to the Government or the local authority, to the amount so payable for any expenditure incurred by the landlord or by the first or any subsequent purchaser or allottee for any improvement, addition or structural alternation in the premises.","In simple terms, ""standard rent"" is the rent set for a property based on 10% per annum of the total cost of construction and the market price of the land when construction started. This standard rent can be increased as outlined in Schedule I.

The cost of construction includes expenses for electrical fittings, water pumps, tanks, and other fixtures in the property.
If fixtures are shared among occupants, the cost is determined based on the proportion of the property's plinth area to the building's total plinth area.
The actual amount spent on construction is the cost, but if unknown, it can be determined using scheduled rates from the Central Public Works Department.
The market price of the land is either the purchase price from the sale deed or the land rates notified by the local authority, whichever is higher.
The land includes the building's plinth area and up to 50% of adjacent vacant land.
If the property is part of a building with multiple premises, the land price is based on the proportion of the property's plinth area to the total building's plinth area.

In cases where the property is acquired from the government or a local authority, the cost of construction and land price is the total amount payable to them. The Rent Authority can allow an additional 30% for any expenses incurred for improvements, additions, or structural alterations in the property, subject to a maximum of 30% of the amount payable to the government or local authority."
"
8. Other charges payable.
(1) A tenant shall be liable to pay to the landlord, besides the rent, the following charges, namely:-
(a) charges, not exceeding fifteen per cent. of the rent for the, amenities as specified in Schedule II as agreed to between the landlord and the tenant;
(b) maintenance charges at the rate of ten per cent. of the rent;
(c) without prejudice to the liability of landlord to pay the property tax to the local authority, the pro rata property tax in relation to the premises. Explanation.- For the purpose of calculating the monthly charges payable by the tenant to the landlord towards the property tax, the amount paid of payable as property tax for the immediately proceeding year or the estimated tax payable shall form the basis.
(2) Th landlord shall be entitled to recover from the tenant the amount paid by him towards charges for electricity or water consumed or other charges levied by a local or other authority which is ordinarily payable by the tenant.","This section outlines additional charges that a tenant is responsible for paying to the landlord:

Specified Charges:

Besides the rent, a tenant must pay the following charges to the landlord:
(a) Charges, not exceeding fifteen percent of the rent, for amenities specified in Schedule II. The specific amenities and the agreed-upon percentage should be determined between the landlord and the tenant.
(b) Maintenance charges at the rate of ten percent of the rent.
(c) The pro-rata property tax in relation to the premises, in addition to the landlord's obligation to pay property tax to the local authority. The monthly charge is calculated based on the property tax paid or payable for the immediately preceding year or the estimated tax for the current year.
Explanation: The property tax charge is calculated based on the amount paid or payable for the property tax in the previous year or the estimated tax for the current year.

Additional Charges:

The landlord can recover from the tenant the amount paid for charges related to electricity, water consumption, or other charges imposed by a local or other authority. This includes charges that are typically payable by the tenant.
It's important for both the landlord and tenant to agree upon and clearly specify these charges in their rental agreement. The percentages mentioned (15% for amenities, 10% for maintenance) are the maximum limits allowed for these charges."
"
9. Revision of rent in certain cases. Where a landlord has at any time, before the commencement of this Act with or without the approval of the tenant or after the commencement of this Act with the written approval of the tenant incurred expenditure for any improvement, addition or structural alteration in the premises, not being expenditure on decoration or tenantable repairs necessary or usual for such premises, and the cost of that improvement, addition or alteration has not been taken into account in determining the rent of the premises, the landlord may lawfully increase the rent per year by an amount not exceeding ten per cent. of such cost.
(2) Where, after the rent of a premises has been fixed under this Act, or agreed upon, as the case may be, there has been a decrease, diminution or deterioration of accommodation in such premises, the tenant may claim a reduction in the rent.","This section addresses the revision of rent in specific situations:

Landlord's Expenditure on Improvements:

If a landlord, either before or after the commencement of this Act and with or without the tenant's approval, spends money on improvements, additions, or structural alterations in the premises (excluding decoration or necessary tenantable repairs), and the cost of these changes was not considered when determining the initial rent, the landlord can legally increase the rent each year by an amount not exceeding 10% of the cost.
Decrease, Diminution, or Deterioration of Accommodation:

If, after the rent has been fixed under this Act or agreed upon, there is a decrease, diminution, or deterioration of accommodation in the premises, the tenant has the right to claim a reduction in the rent."
"
10. Notice of revision of rent.
(1) Where a landlord wishes to revise the rent of any premises under sub- section (1) of section 9, he shall give the tenant a notice of his intention to make the revision and, in so far as such revision is lawful under this Act, it shall be due and recoverable from the date of improvement, addition or structural alteration.
(2) Every notice under sub- section (1) shall be in writing signed by or on behalf of the landlord and given in the manner provided in section 106 of the Transfer of' Property Act, 1882 . (4 of 1882 .)","This section deals with the process of revising the rent for a property:

Landlord's Intent to Revise Rent:

When a landlord intends to increase the rent of a property according to the conditions specified in sub-section (1) of section 9, they must provide the tenant with a notice expressing this intention.
The revised rent becomes due and payable from the date when improvements, additions, or structural alterations are made, as long as the revision is lawful under the Delhi Rent Act.
Notice Requirements:

The notice must be in writing and signed by the landlord or someone on their behalf.
The notice must be delivered to the tenant in the manner outlined in section 106 of the Transfer of Property Act, 1882.
In simple terms, if a landlord wants to increase the rent due to improvements or changes in the property, they must inform the tenant by providing a written notice. The increased rent is applicable from the date when the improvements or changes take place, and the notice must be delivered according to the specified legal procedures."
